This file is created using RaceChrono Pro v10.2.4 ( http://racechrono.com/ ).
Format,3
Session title,"Ts"
Session type,Lap timing
Track name,"Ts"
Driver name,
Created,26/09/2026,16:37
Note,

timestamp,fragment_id,lap_number,elapsed_time,distance_traveled,accuracy,altitude,bearing,device_battery_level,device_update_rate,fix_type,latitude,longitude,satellites,speed,combined_acc,device_update_rate,lateral_acc,lean_angle,longitudinal_acc,speed,device_update_rate,x_acc,y_acc,z_acc,device_update_rate,x_rate_of_rotation,y_rate_of_rotation,z_rate_of_rotation
unix time,,,s,m,m,m,deg,%,Hz,,deg,deg,sats,m/s,G,Hz,G,deg,G,m/s,Hz,G,G,G,Hz,deg/s,deg/s,deg/s
,,,,,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,calc,calc,calc,calc,calc,calc,101: acc,101: acc,101: acc,101: acc,102: gyro,102: gyro,102: gyro,102: gyro
1790441203.639,0,17,550.999,2328.221,0.266,16.314,211.054,14.0,24.99974,3.0,55.5025378,8.4550513,12.0,12.417,0.52522,20.0,-0.05362,2.37451,0.52247,12.41629,24.99974,0.40901,-0.01897,0.97199,24.99974,-0.85,1.41,1.47
1790441203.64,0,17,551.0,2328.2335,0.266,16.3141,211.054,14.0,24.99974,3.0,55.5025377,8.4550512,12.0,12.42087,0.52508,20.0,-0.05343,2.36653,0.52235,12.42087,24.99974,0.40973,-0.01794,0.97297,24.99974,-0.81,1.3895,1.48675
1790441203.679,0,17,551.039,2328.721,0.266,16.318,211.279,14.0,24.99977,3.0,55.502534,8.4550472,12.0,12.572,0.51424,20.0,-0.05172,2.35828,0.51163,12.5853,24.99977,0.43797,0.02203,1.01105,24.99977,0.75,0.59,2.14
1790441203.69,0,17,551.05,2328.86455,0.266,16.31855,211.279,14.0,24.99978,3.0,55.5025329,8.455046,12.0,12.63168,0.51118,20.0,-0.05124,2.35596,0.50861,12.63168,24.99978,0.43247,0.02862,0.99425,24.99978,1.6135,0.524,2.162
1790441203.719,0,17,551.079,2329.243,0.266,16.32,210.952,14.0,24.9998,3.0,55.50253,8.4550428,12.0,12.789,0.51316,20.0,-0.02983,1.19375,0.51196,12.78687,24.9998,0.41798,0.04599,0.94997,24.9998,3.89,0.35,2.22
1790441203.74,0,17,551.1,2329.52283,0.266,16.32053,210.952,14.0,24.99981,3.0,55.5025278,8.4550406,12.0,12.89925,0.51459,20.0,-0.01432,0.35215,0.51439,12.89925,24.99981,0.41959,0.03812,0.97727,24.99981,3.41225,0.5285,1.9575
1790441203.759,0,17,551.119,2329.776,0.266,16.321,210.671,14.0,24.99982,3.0,55.5025258,8.4550387,12.0,12.999,0.5136,20.0,-0.00936,0.0983,0.51348,12.9937,24.99982,0.42104,0.031,1.00197,24.99982,2.98,0.69,1.72
1790441203.79,0,17,551.15,2330.19217,0.266,16.31403,210.671,14.0,25.00254,3.0,55.5025226,8.4550353,12.0,13.1478,0.51199,20.0,-0.00127,-0.31588,0.51199,13.1478,25.00254,0.43574,-0.00851,0.93843,25.00254,5.088,0.35675,1.01475
1790441203.799,0,17,551.159,2330.313,0.266,16.312,210.608,14.0,25.00333,3.0,55.5025217,8.4550343,12.0,13.191,0.51182,20.0,-0.00452,-0.11874,0.51175,13.19206,25.00333,0.44001,-0.01999,0.91999,25.00333,5.7,0.26,0.81
1790441203.839,0,17,551.199,2330.857,0.266,16.294,210.8,14.0,25.00296,3.0,55.5025175,8.4550298,12.0,13.39,0.51106,20.0,-0.01899,0.75744,0.5107,13.38876,25.00296,0.414,0.03804,1.024,25.00296,8.43,-0.74,-0.65
1790441203.84,0,17,551.2,2330.87058,0.266,16.2937,210.8,14.0,25.00295,3.0,55.5025174,8.4550297,12.025,13.39368,0.51104,20.0,-0.01935,0.77934,0.51068,13.39368,25.00295,0.41308,0.03326,1.02007,25.00295,8.3895,-0.72925,-0.694
1790441203.879,0,17,551.239,2331.4,0.266,16.282,210.794,14.0,25.00263,3.0,55.5025133,8.4550253,13.0,13.537,0.49105,20.0,-0.0193,0.81812,0.49067,13.53078,25.00263,0.37699,-0.15296,0.86696,25.00263,6.81,-0.31,-2.41
1790441203.89,0,17,551.25,2331.55372,0.266,16.28173,210.794,14.0,25.00255,3.0,55.5025121,8.4550241,13.0,13.56945,0.48541,20.0,-0.01928,0.82906,0.48503,13.56945,25.00255,0.37287,-0.13151,0.92226,25.00255,6.4085,0.141,-2.93525
1790441203.919,0,17,551.279,2331.959,0.266,16.281,210.923,14.0,25.00234,3.0,55.502509,8.4550208,13.0,13.655,0.47405,20.0,-0.0345,1.709,0.47259,13.66718,25.00234,0.362,-0.07495,1.06805,25.00234,5.35,1.33,-4.32
1790441203.94,0,17,551.3,2332.2467,0.266,16.28153,210.923,14.0,25.0022,3.0,55.5025068,8.4550184,13.0,13.73795,0.46581,20.0,-0.04553,2.3462,0.46358,13.73795,25.0022,0.40451,-0.14112,0.98978,25.0022,5.75425,-0.09275,-5.50125
1790441203.959,0,17,551.319,2332.507,0.266,16.282,211.363,14.0,25.00207,3.0,55.5025048,8.4550162,13.0,13.813,0.47008,20.0,-0.05723,3.01794,0.46637,13.8291,25.00207,0.44296,-0.20099,0.91897,25.00207,6.12,-1.38,-6.57
1790441203.99,0,17,551.35,2332.94629,0.266,16.28654,211.363,14.0,24.9992,3.0,55.5025014,8.4550126,13.0,13.97783,0.47705,20.0,-0.07632,4.11394,0.47091,13.97783,24.9992,0.42261,-0.21008,0.94996,24.9992,6.53585,1.83341,-7.84024
1790441204.0,0,17,551.36,2333.088,0.266,16.288,211.726,14.0,24.99828,3.0,55.5025003,8.4550115,13.0,14.031,0.47798,20.0,-0.08204,4.44078,0.47075,14.02504,24.99828,0.41604,-0.21302,0.95996,24.99828,6.67,2.87,-8.25
1790441204.039,0,17,551.399,2333.658,0.266,16.272,212.112,14.0,24.99846,3.0,55.502496,8.4550067,13.0,14.21,0.48161,20.0,-0.10436,5.71547,0.47015,14.20915,24.99846,0.57002,-0.19099,1.05398,24.99846,0.42,1.6,-12.36
1790441204.04,0,17,551.4,2333.67252,0.266,16.2716,212.112,14.0,24.99847,3.0,55.5024959,8.4550065,13.0,14.21387,0.4817,20.0,-0.10493,5.74816,0.47013,14.21387,24.99847,0.57075,-0.19349,1.05068,24.99847,0.461,1.6105,-12.3275
1790441204.079,0,17,551.439,2334.239,0.266,16.256,212.525,14.0,24.99864,3.0,55.5024917,8.4550015,13.0,14.365,0.49122,20.0,-0.1284,7.06824,0.47399,14.39718,24.99864,0.59898,-0.29103,0.92203,24.99864,2.06,2.02,-11.06
1790441204.09,0,17,551.45,2334.40758,0.26572,16.2505,212.525,14.0,24.99868,3.0,55.5024904,8.4550001,13.0,14.44888,0.4939,20.0,-0.13502,7.44057,0.47508,14.44888,24.99868,0.55801,-0.26764,0.95969,24.99868,1.32575,2.43525,-10.983
1790441204.119,0,17,551.479,2334.852,0.265,16.236,213.065,14.0,24.99879,3.0,55.502487,8.4549963,13.0,14.67,0.51722,20.0,-0.15192,8.38251,0.49432,14.64716,24.99879,0.45,-0.20598,1.05898,24.99879,-0.61,3.53,-10.78
1790441204.14,0,17,551.5,2335.16805,0.265,16.23338,213.065,14.0,24.99886,3.0,55.5024846,8.4549935,13.0,14.79075,0.5341,20.0,-0.16416,9.0646,0.50825,14.79075,24.99886,0.36129,-0.23489,0.98809,24.99886,-2.2375,1.0835,-10.486
1790441204.159,0,17,551.519,2335.454,0.265,16.231,213.482,14.0,24.99892,3.0,55.5024825,8.454991,13.0,14.9,0.52755,20.0,-0.15936,8.80508,0.50289,14.87556,24.99892,0.28103,-0.26105,0.92396,24.99892,-3.71,-1.13,-10.22
1790441204.19,0,17,551.55,2335.93295,0.265,16.22867,213.482,14.0,24.99902,3.0,55.5024789,8.4549869,13.0,15.01393,0.51686,20.0,-0.15152,8.38166,0.49415,15.01393,24.99902,-0.01271,-0.19514,1.02164,24.99902,-1.4625,-0.076,-7.94925
1790441204.199,0,17,551.559,2336.072,0.265,16.228,213.53,14.0,24.99904,3.0,55.5024778,8.4549857,13.0,15.047,0.5006,20.0,-0.14594,8.07078,0.47886,15.0182,24.99904,-0.09799,-0.176,1.05,24.99904,-0.81,0.23,-7.29
