This file is created using RaceChrono Pro v10.2.4 ( http://racechrono.com/ ).
Format,3
Session title,"Ts"
Session type,Lap timing
Track name,"Ts"
Driver name,
Created,24/09/2026,16:00
Note,

timestamp,fragment_id,lap_number,elapsed_time,distance_traveled,accuracy,altitude,bearing,device_battery_level,device_update_rate,fix_type,latitude,longitude,satellites,speed,combined_acc,device_update_rate,lateral_acc,lean_angle,longitudinal_acc,speed,device_update_rate,x_acc,y_acc,z_acc,device_update_rate,x_rate_of_rotation,y_rate_of_rotation,z_rate_of_rotation
unix time,,,s,m,m,m,deg,%,Hz,,deg,deg,sats,m/s,G,Hz,G,deg,G,m/s,Hz,G,G,G,Hz,deg/s,deg/s,deg/s
,,,,,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,100: gps,calc,calc,calc,calc,calc,calc,101: acc,101: acc,101: acc,101: acc,102: gyro,102: gyro,102: gyro,102: gyro
1790266642.509,0,26,995.95,3600.97985,0.217,17.03735,211.006,17.0,25.0,3.0,55.5025439,8.45502,16.0,14.67653,0.37217,20.0,0.06709,-3.38835,0.36608,14.67653,25.0,0.57198,0.00839,0.97997,25.0,4.3115,0.77225,2.05775
1790266642.52,0,26,995.961,3601.141,0.217,17.039,210.959,17.0,25.0,3.0,55.5025427,8.4550187,16.0,14.756,0.35934,20.0,0.07234,-3.64022,0.35162,14.75386,25.0,0.55299,-0.00398,0.99096,25.0,5.34,0.61,2.0
1790266642.559,0,26,996.0,3601.74843,0.217,17.03803,210.959,17.0,25.0,3.0,55.502538,8.4550138,16.0,15.02803,0.31385,20.0,0.09098,-4.53323,0.30037,15.02803,25.0,0.38825,0.05548,1.01542,25.0,3.82875,1.18525,-1.11025
1790266642.56,0,26,996.001,3601.764,0.217,17.038,211.178,17.0,25.0,3.0,55.5025378,8.4550137,16.0,15.035,0.3127,20.0,0.09163,-4.56453,0.29887,15.02998,25.0,0.38403,0.057,1.01605,25.0,3.79,1.2,-1.19
1790266642.6,0,26,996.041,3602.36,0.216,17.031,211.171,17.0,25.0,3.0,55.5025333,8.4550085,16.0,15.127,0.26682,20.0,0.11742,-5.81676,0.23853,15.10808,25.0,0.16295,-0.07699,0.93997,25.0,3.39,1.23,-2.42
1790266642.609,0,26,996.05,3602.49545,0.216,17.0292,211.171,17.0,25.0,3.0,55.5025323,8.4550074,16.0,15.12565,0.25649,20.0,0.12323,-6.09851,0.22495,15.12565,25.0,0.13035,-0.07676,0.95955,25.0,2.8995,0.81375,-2.7575
1790266642.64,0,26,996.081,3602.962,0.216,17.023,211.247,17.0,25.0,3.0,55.5025287,8.4550037,16.0,15.121,0.23125,20.0,0.14818,-7.3215,0.1728,15.10627,25.0,0.01805,-0.07597,1.02696,25.0,1.21,-0.62,-3.92
1790266642.659,0,26,996.1,3603.2527,0.216,17.02158,211.247,17.0,25.0,3.0,55.5025265,8.4550012,16.0,15.0944,0.21577,20.0,0.16347,-8.07107,0.14083,15.0944,25.0,-0.04468,-0.05984,0.97329,25.0,-1.56875,0.00225,-3.1885
1790266642.68,0,26,996.121,3603.574,0.216,17.02,211.569,17.0,25.0,3.0,55.502524,8.4549985,16.0,15.065,0.21605,20.0,0.1831,-9.04016,0.1033,15.06805,25.0,-0.114,-0.04201,0.91397,25.0,-4.64,0.69,-2.38
1790266642.709,0,26,996.15,3604.01408,0.216,17.02508,211.569,17.0,25.0,3.0,55.5025206,8.4549949,16.0,15.03165,0.21643,20.0,0.21022,-10.37842,0.05148,15.03165,25.0,-0.14084,0.03414,0.97053,25.0,-6.3655,1.647,0.6795
1790266642.72,0,26,996.161,3604.181,0.216,17.027,211.691,17.0,25.0,3.0,55.5025193,8.4549935,16.0,15.019,0.22678,20.0,0.22128,-10.92855,0.03142,15.022,25.0,-0.15102,0.06302,0.99198,25.0,-7.02,2.01,1.84
1790266642.759,0,26,996.2,3604.75235,0.216,17.02603,211.691,17.0,25.0,3.0,55.5025149,8.4549888,16.0,14.9878,0.2635,20.0,0.26049,-12.87901,-0.0397,14.9878,25.0,-0.14128,0.14882,0.89842,25.0,-14.3715,0.73275,6.13
1790266642.76,0,26,996.201,3604.767,0.216,17.026,211.301,17.0,25.0,3.0,55.5025148,8.4549887,16.0,14.987,0.26494,20.0,0.26148,-12.92882,-0.04149,14.98551,25.0,-0.14103,0.15102,0.89602,25.0,-14.56,0.7,6.24
1790266642.8,0,26,996.241,3605.369,0.216,17.006,210.864,17.0,25.0,3.0,55.5025102,8.4549838,16.0,14.874,0.32277,20.0,0.30102,-14.92134,-0.11311,14.89375,25.0,-0.20201,0.35405,0.90796,25.0,-10.73,1.61,17.09
1790266642.809,0,26,996.25,3605.5031,0.216,17.00037,210.864,17.0,25.0,3.0,55.5025091,8.4549828,16.0,14.8731,0.33578,20.0,0.30991,-15.36966,-0.12923,14.8731,25.0,-0.22518,0.40195,0.92574,25.0,-9.236,1.32875,18.5795
1790266642.84,0,26,996.281,3605.965,0.216,16.981,210.226,17.0,25.0,3.0,55.5025055,8.4549792,16.0,14.87,0.38521,20.0,0.3383,-16.82078,-0.18226,14.87295,25.0,-0.305,0.56696,0.98698,25.0,-4.09,0.36,23.71
1790266642.859,0,26,996.3,3606.24335,0.21552,16.97815,210.226,17.0,25.0,3.0,55.5025033,8.4549771,16.0,14.87285,0.41551,20.0,0.35571,-17.71018,-0.21476,14.87285,25.0,-0.34442,0.60639,0.9756,25.0,-2.94525,-0.93675,25.41525
1790266642.88,0,26,996.321,3606.551,0.215,16.975,208.866,17.0,25.0,3.0,55.5025008,8.4549748,16.0,14.876,0.44771,20.0,0.37227,-18.56974,-0.24779,14.84129,25.0,-0.388,0.64997,0.96302,25.0,-1.68,-2.37,27.3
1790266642.909,0,26,996.35,3606.97295,0.215,16.97573,208.866,17.0,25.0,3.0,55.5024975,8.4549718,16.0,14.7977,0.49217,20.0,0.39515,-19.75676,-0.29341,14.7977,25.0,-0.46629,0.69277,1.00509,25.0,4.34475,-3.82,29.0835
1790266642.92,0,26,996.361,3607.133,0.215,16.976,207.377,17.0,25.0,3.0,55.5024962,8.4549707,16.0,14.768,0.50733,20.0,0.40214,-20.12521,-0.30894,14.73754,25.0,-0.49599,0.70901,1.02104,25.0,6.63,-4.37,29.76
1790266642.959,0,26,996.4,3607.70728,0.215,16.98478,207.377,17.0,25.0,3.0,55.5024915,8.4549669,16.0,14.52425,0.56107,20.0,0.42695,-21.43154,-0.36402,14.52425,25.0,-0.63538,0.66606,1.06389,25.0,7.82925,-4.36025,26.484
1790266642.96,0,26,996.401,3607.722,0.215,16.985,206.014,17.0,25.0,3.0,55.5024913,8.4549668,16.0,14.518,0.56227,20.0,0.42747,-21.45866,-0.36524,14.51834,25.0,-0.63895,0.66496,1.06499,25.0,7.86,-4.36,26.4
1790266643.0,0,26,996.441,3608.29,0.215,16.988,205.223,17.0,25.0,3.0,55.5024867,8.4549632,16.0,14.294,0.61026,20.0,0.4483,-22.54327,-0.41392,14.28212,25.0,-0.66598,0.58501,0.97699,25.0,3.41,-3.76,22.69
1790266643.009,0,26,996.45,3608.4151,0.215,16.99408,205.223,17.0,25.0,3.0,55.5024857,8.4549623,16.0,14.22897,0.62106,20.0,0.45299,-22.78731,-0.42488,14.22897,25.0,-0.67206,0.58614,0.99206,25.0,3.1355,-3.41575,22.357
1790266643.04,0,26,996.481,3608.846,0.215,17.015,204.959,17.0,25.0,3.0,55.5024822,8.4549593,16.0,14.005,0.65232,20.0,0.46639,-23.47461,-0.45596,13.99764,25.0,-0.693,0.59001,1.04399,25.0,2.19,-2.23,21.21
1790266643.059,0,26,996.5,3609.09538,0.215,17.01833,204.959,17.0,25.0,3.0,55.5024801,8.4549578,16.0,13.85585,0.67148,20.0,0.4746,-23.89586,-0.47501,13.85585,25.0,-0.71107,0.56531,1.02975,25.0,-0.45575,-1.755,20.36925
1790266643.08,0,26,996.521,3609.371,0.215,17.022,204.525,17.0,25.0,3.0,55.5024778,8.454956,16.0,13.691,0.68923,20.0,0.48334,-24.31553,-0.49132,13.70105,25.0,-0.73103,0.538,1.01401,25.0,-3.38,-1.23,19.44
1790266643.109,0,26,996.55,3609.76468,0.215,17.02635,204.525,17.0,25.0,3.0,55.5024746,8.4549536,16.0,13.48727,0.71375,20.0,0.4954,-24.89509,-0.51383,13.48727,25.0,-0.71285,0.5068,1.02199,25.0,-3.45975,-2.883,19.67925
